filename,config_id,supercell,ehull_ref,ehull_doped,ehull_diff,actual_concentration_pct,n_dopant_atoms
LFP_Fe=Ti_conc04_n3_c3_4x2x2.poscar,LFP_Fe=Ti_conc04_n3_c3_4x2x2,4x2x2,2.638971,2.742391,0.10341999999999985,4.69,3
LFP_Fe=Ti_conc05_n3_c1_4x2x2.poscar,LFP_Fe=Ti_conc05_n3_c1_4x2x2,4x2x2,2.638971,2.720803,0.0818319999999999,4.69,3
LFP_Fe=Ti_conc05_n3_c2_4x2x2.poscar,LFP_Fe=Ti_conc05_n3_c2_4x2x2,4x2x2,2.638971,2.727796,0.08882499999999993,4.69,3
LFP_Fe=Ti_conc05_n3_c3_4x2x2.poscar,LFP_Fe=Ti_conc05_n3_c3_4x2x2,4x2x2,2.638971,2.7321,0.0931289999999998,4.69,3
LFP_Fe=Ti_conc06_n1_c1_2x2x1.poscar,LFP_Fe=Ti_conc06_n1_c1_2x2x1,2x2x1,2.639068,2.737557,0.09848899999999983,6.25,1
LFP_Fe=Ti_conc06_n1_c2_2x2x1.poscar,LFP_Fe=Ti_conc06_n1_c2_2x2x1,2x2x1,2.639068,2.732708,0.09364000000000017,6.25,1
LFP_Fe=Ti_conc06_n1_c3_2x2x1.poscar,LFP_Fe=Ti_conc06_n1_c3_2x2x1,2x2x1,2.639068,2.737566,0.0984980000000002,6.25,1
LFP_Fe=Ti_conc07_n1_c1_2x2x1.poscar,LFP_Fe=Ti_conc07_n1_c1_2x2x1,2x2x1,2.639068,2.732708,0.09364000000000017,6.25,1
LFP_Fe=Ti_conc07_n1_c2_2x2x1.poscar,LFP_Fe=Ti_conc07_n1_c2_2x2x1,2x2x1,2.639068,2.732557,0.09348899999999993,6.25,1
LFP_Fe=Ti_conc07_n1_c3_2x2x1.poscar,LFP_Fe=Ti_conc07_n1_c3_2x2x1,2x2x1,2.639068,2.738102,0.09903400000000007,6.25,1
LFP_Fe=Ti_conc08_n1_c1_2x2x1.poscar,LFP_Fe=Ti_conc08_n1_c1_2x2x1,2x2x1,2.639068,2.732557,0.09348899999999993,6.25,1
LFP_Fe=Ti_conc08_n1_c2_2x2x1.poscar,LFP_Fe=Ti_conc08_n1_c2_2x2x1,2x2x1,2.639068,2.737557,0.09848899999999983,6.25,1
LFP_Fe=Ti_conc08_n1_c3_2x2x1.poscar,LFP_Fe=Ti_conc08_n1_c3_2x2x1,2x2x1,2.639068,2.737557,0.09848899999999983,6.25,1
LFP_Fe=Ti_conc09_n1_c1_2x2x1.poscar,LFP_Fe=Ti_conc09_n1_c1_2x2x1,2x2x1,2.639068,2.738401,0.09933300000000012,6.25,1
LFP_Fe=Ti_conc09_n1_c2_2x2x1.poscar,LFP_Fe=Ti_conc09_n1_c2_2x2x1,2x2x1,2.639068,2.732708,0.09364000000000017,6.25,1
LFP_Fe=Ti_conc09_n1_c3_2x2x1.poscar,LFP_Fe=Ti_conc09_n1_c3_2x2x1,2x2x1,2.639068,2.732708,0.09364000000000017,6.25,1
LFP_Fe=Ti_conc10_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc10_n2_c1_2x2x1,2x2x1,2.639068,2.82182,0.18275200000000025,12.5,2
LFP_Fe=Ti_conc10_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc10_n2_c2_2x2x1,2x2x1,2.639068,2.802503,0.16343500000000022,12.5,2
LFP_Fe=Ti_conc10_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc10_n2_c3_2x2x1,2x2x1,2.639068,2.778709,0.13964100000000013,12.5,2
LFP_Fe=Ti_conc11_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc11_n2_c1_2x2x1,2x2x1,2.639068,2.817509,0.17844099999999985,12.5,2
LFP_Fe=Ti_conc11_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc11_n2_c2_2x2x1,2x2x1,2.639068,2.79347,0.15440200000000015,12.5,2
LFP_Fe=Ti_conc11_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc11_n2_c3_2x2x1,2x2x1,2.639068,2.816705,0.17763699999999982,12.5,2
LFP_Fe=Ti_conc12_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc12_n2_c1_2x2x1,2x2x1,2.639068,2.778598,0.13953000000000015,12.5,2
LFP_Fe=Ti_conc12_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc12_n2_c2_2x2x1,2x2x1,2.639068,2.76661,0.12754200000000004,12.5,2
LFP_Fe=Ti_conc12_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc12_n2_c3_2x2x1,2x2x1,2.639068,2.774965,0.13589699999999993,12.5,2
LFP_Fe=Ti_conc13_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc13_n2_c1_2x2x1,2x2x1,2.639068,2.804553,0.16548499999999988,12.5,2
LFP_Fe=Ti_conc13_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc13_n2_c2_2x2x1,2x2x1,2.639068,2.774965,0.13589699999999993,12.5,2
LFP_Fe=Ti_conc13_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc13_n2_c3_2x2x1,2x2x1,2.639068,2.816852,0.17778399999999994,12.5,2
LFP_Fe=Ti_conc14_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc14_n2_c1_2x2x1,2x2x1,2.639068,2.829105,0.19003700000000023,12.5,2
LFP_Fe=Ti_conc14_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc14_n2_c2_2x2x1,2x2x1,2.639068,2.791584,0.15251599999999987,12.5,2
LFP_Fe=Ti_conc14_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc14_n2_c3_2x2x1,2x2x1,2.639068,2.778,0.13893200000000006,12.5,2
LFP_Fe=Ti_conc15_n2_c1_2x2x1.poscar,LFP_Fe=Ti_conc15_n2_c1_2x2x1,2x2x1,2.639068,2.803118,0.16405000000000003,12.5,2
LFP_Fe=Ti_conc15_n2_c2_2x2x1.poscar,LFP_Fe=Ti_conc15_n2_c2_2x2x1,2x2x1,2.639068,2.801038,0.16197000000000017,12.5,2
LFP_Fe=Ti_conc15_n2_c3_2x2x1.poscar,LFP_Fe=Ti_conc15_n2_c3_2x2x1,2x2x1,2.639068,2.804824,0.16575600000000001,12.5,2
LFP_Fe=Ti_conc16_n3_c1_2x2x1.poscar,LFP_Fe=Ti_conc16_n3_c1_2x2x1,2x2x1,2.639068,2.819795,0.18072700000000008,18.75,3
LFP_Fe=Ti_conc16_n3_c2_2x2x1.poscar,LFP_Fe=Ti_conc16_n3_c2_2x2x1,2x2x1,2.639068,2.819388,0.18032000000000004,18.75,3
LFP_Fe=Ti_conc16_n3_c3_2x2x1.poscar,LFP_Fe=Ti_conc16_n3_c3_2x2x1,2x2x1,2.639068,2.836021,0.19695300000000016,18.75,3
LFP_Fe=Ti_conc17_n3_c1_2x2x1.poscar,LFP_Fe=Ti_conc17_n3_c1_2x2x1,2x2x1,2.639068,2.859478,0.22041000000000022,18.75,3
